주차,아이템대분류,중분류,소분류,판매량,판매액,정상가환원매출,할인율(%)
200706,스웨터류,스웨터,풀오버스웨터,8046,213069300,320512800,33.5
200706,스웨터류,스웨터가디건,가디건,9119,286881700,468572200,38.8
200706,스웨터류,스웨터조끼,조끼,18,356400,356400,0.0
200706,신발,슬리퍼,슬리퍼(신발류),2,14000,19600,28.6
200706,신발,캔버스화,운동화,1135,20114000,28375000,29.1
200706,실내복,라운지웨어,여성라운지세트,2,39600,39600,0.0
200706,액세서리,액세서리 기타,"와펜,브로찌류",63,650300,1077400,39.6
200706,여성언더웨어,여성런닝,여성런닝,66,376800,844800,55.4
200706,여성언더웨어,여성팬티,삼각팬티,46,246000,358800,31.4
200706,외의류,점퍼,"가죽점퍼,무스탕",81,3192000,9999000,68.1
200706,외의류,점퍼,다운점퍼,2228,89286000,180993600,50.7
200706,외의류,점퍼,일반점퍼,4204,181026600,288645200,37.3
200706,외의류,점퍼,패딩점퍼,4450,190683600,384850000,50.5
200706,외의류,코트,모직코트,711,43197000,86607600,50.1
200706,치마류,스커트,다이마루스커트,1351,33440800,38259800,12.6
200706,치마류,스커트,스커트짧은형,2672,50643500,98007600,48.3
200706,티셔츠류,긴팔티셔츠,무지긴팔티,20276,138235800,222599800,37.9
200706,티셔츠류,긴팔티셔츠,변형긴팔티,15952,247563900,332767600,25.6
200706,티셔츠류,나시형티셔츠,민소매티,10466,136426800,136668800,0.2
200706,티셔츠류,런닝형티셔츠,무지반팔티,2622,15732000,16431200,4.3
200706,티셔츠류,런닝형티셔츠,변형반팔티,5125,101512400,101479000,0.0
200706,티셔츠류,런닝형티셔츠,전사반팔티,16880,202626200,240597000,15.8
200706,티셔츠류,맨투맨,맨투맨무지,416,3744000,9076800,58.8
200706,티셔츠류,맨투맨,맨투맨변형,38593,771604000,1250729400,38.3
200706,티셔츠류,반팔티셔츠,무지폴로티,16,112000,204800,45.3
200706,티셔츠류,반팔티셔츠,변형폴로티,-23,-385000,-419400,8.2
200706,패션잡화,가방,가방,512,13332500,21067600,36.7
200706,패션잡화,모자,모자,1711,29178900,31267800,6.7
200706,패션잡화,벨트,벨트,1258,20965500,32203400,34.9
200706,패션잡화,양말,양말,1721,6888200,6909800,0.3
200706,패션잡화,"우비,우산",우산,2,14000,19600,28.6
200706,패션잡화,장갑,장갑,169,1741500,3562200,51.1
200706,패션잡화,패브릭잡화,목도리(머플러),376,3711000,7438800,50.1
200707,바지류,바지,다이마루바지,3268,50384500,71814400,29.8
200707,바지류,바지,반바지,-66,-485000,-872800,44.4
200707,바지류,바지,변형바지,10591,370677300,470942200,21.3
200707,바지류,청바지,청바지,14917,580025900,664196600,12.7
200707,셔츠류,남방,무지 셔츠,556,14250000,14308800,0.4
200707,셔츠류,남방,변형 셔츠,236,7258300,9294800,21.9
200707,셔츠류,남방,스트라이프,1244,24154100,35827200,32.6
200707,셔츠류,남방,체크,8175,212740100,239835000,11.3
200707,스웨터류,스웨터,기본스웨터,6161,87947200,179817800,51.1
200707,스웨터류,스웨터,풀오버스웨터,6820,199007300,271686000,26.8
200707,스웨터류,스웨터가디건,가디건,7004,249426200,358217200,30.4
200707,스웨터류,스웨터조끼,조끼,18,356400,356400,0.0
200707,신발,캔버스화,운동화,717,13646000,15462600,11.7
200707,액세서리,액세서리 기타,"와펜,브로찌류",50,644600,827000,22.1
200707,여성언더웨어,여성런닝,여성런닝,8,40000,102400,60.9
200707,여성언더웨어,여성팬티,삼각팬티,20,92000,156000,41.0
200707,외의류,점퍼,"가죽점퍼,무스탕",48,1938000,5344800,63.7
200707,외의류,점퍼,다운점퍼,1088,45511800,91981200,50.5
